study_accession	experiment_accession	experiment_title	experiment_desc	organism_taxid 	organism_name	library_strategy	library_source	library_selection	library_layout	sample_accession	sample_title	instrument	total_spots	total_size	run_accession	run_total_spots	run_total_bases
SRP310170	SRX10310777	GSM5155626: H9TP53KOC1rep2; Homo sapiens; RNA-Seq	GSM5155626: H9TP53KOC1rep2; Homo sapiens; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS8431915		NextSeq 500	27135409	2508688453	SRR13931394	27135409	6762880575
SRP310170	SRX10310776	GSM5155625: H9TP53KOC1rep1; Homo sapiens; RNA-Seq	GSM5155625: H9TP53KOC1rep1; Homo sapiens; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS8431917		NextSeq 500	32677831	2953261551	SRR13931393	32677831	8204891146
SRP310170	SRX10310775	GSM5155624: H9WTrep2; Homo sapiens; RNA-Seq	GSM5155624: H9WTrep2; Homo sapiens; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS8431914		NextSeq 500	22299407	1993895694	SRR13931392	22299407	5495647457
SRP310170	SRX10310774	GSM5155623: H9WTrep1; Homo sapiens; RNA-Seq	GSM5155623: H9WTrep1; Homo sapiens; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS8431916		NextSeq 500	21338537	1787162214	SRR13931391	21338537	5020373275
