study_accession	experiment_accession	experiment_title	experiment_desc	organism_taxid 	organism_name	library_strategy	library_source	library_selection	library_layout	sample_accession	sample_title	instrument	total_spots	total_size	run_accession	run_total_spots	run_total_bases
SRP335821	SRX18711132	GSM6840430: K422_ctr_H3K27me3_spikein; Homo sapiens; OTHER	GSM6840430: K422_ctr_H3K27me3_spikein; Homo sapiens; OTHER	9606	Homo sapiens	OTHER	GENOMIC	other	PAIRED	SRS16153253		NextSeq 500	29713420	898761663	SRR22750024	29713420	2258219920
SRP335821	SRX18711131	GSM6840424: Episcreen_K562_Day0; Homo sapiens; OTHER	GSM6840424: Episcreen_K562_Day0; Homo sapiens; OTHER	9606	Homo sapiens	OTHER	GENOMIC	other	SINGLE	SRS16153252		NextSeq 500	26577716	390962665	SRR22750023	26577716	984261597
SRP335821	SRX18711130	GSM6840419: Episcreen_K562_Day14; Homo sapiens; OTHER	GSM6840419: Episcreen_K562_Day14; Homo sapiens; OTHER	9606	Homo sapiens	OTHER	GENOMIC	other	SINGLE	SRS16153251		NextSeq 500	20043005	311839378	SRR22750022	20043005	782624637
SRP335821	SRX18711129	GSM6840414: Episcreen_K422_Day0; Homo sapiens; OTHER	GSM6840414: Episcreen_K422_Day0; Homo sapiens; OTHER	9606	Homo sapiens	OTHER	GENOMIC	other	SINGLE	SRS16153250		NextSeq 500	26531775	475575020	SRR22750021	26531775	1063748778
SRP335821	SRX18711128	GSM6840409: Episcreen_K422_Day14; Homo sapiens; OTHER	GSM6840409: Episcreen_K422_Day14; Homo sapiens; OTHER	9606	Homo sapiens	OTHER	GENOMIC	other	SINGLE	SRS16153248		NextSeq 500	22609538	339510334	SRR22750020	22609538	859730070
SRP335821	SRX18711127	GSM6840403: K422_VTP2; Homo sapiens; RNA-Seq	GSM6840403: K422_VTP2; Homo sapiens; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	SRS16153249		NextSeq 500	25913235	687524339	SRR22750019	25913235	1943492625
SRP335821	SRX18711126	GSM6840398: K422_VTP1; Homo sapiens; RNA-Seq	GSM6840398: K422_VTP1; Homo sapiens; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	SRS16153247		NextSeq 500	30361984	821600716	SRR22750018	30361984	2277148800
SRP335821	SRX18711125	GSM6840393: K422_EPZ2; Homo sapiens; RNA-Seq	GSM6840393: K422_EPZ2; Homo sapiens; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	SRS16153246		NextSeq 500	20671676	546727602	SRR22750017	20671676	1550375700
SRP335821	SRX18711124	GSM6840388: K422_EPZ1; Homo sapiens; RNA-Seq	GSM6840388: K422_EPZ1; Homo sapiens; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	SRS16153245		NextSeq 500	12426307	329823844	SRR22750016	12426307	931973025
SRP335821	SRX18711123	GSM6840383: K422_CTR2; Homo sapiens; RNA-Seq	GSM6840383: K422_CTR2; Homo sapiens; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	SRS16153243		NextSeq 500	25833558	691241901	SRR22750015	25833558	1937516850
SRP335821	SRX18711122	GSM6840378: K422_CTR1; Homo sapiens; RNA-Seq	GSM6840378: K422_CTR1; Homo sapiens; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	SRS16153244		NextSeq 500	17804324	472011698	SRR22750014	17804324	1335324300
SRP335821	SRX18711121	GSM6840373: K422_Combo2; Homo sapiens; RNA-Seq	GSM6840373: K422_Combo2; Homo sapiens; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	SRS16153242		NextSeq 500	22359711	594377500	SRR22750013	22359711	1676978325
SRP335821	SRX18711120	GSM6840368: K422_Combo1; Homo sapiens; RNA-Seq	GSM6840368: K422_Combo1; Homo sapiens; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	SRS16153241		NextSeq 500	25174295	668094660	SRR22750012	25174295	1888072125
SRP335821	SRX18711119	GSM6840363: DHL10_VTP2; Homo sapiens; RNA-Seq	GSM6840363: DHL10_VTP2; Homo sapiens; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	SRS16153240		NextSeq 500	14608687	388691696	SRR22750011	14608687	1095651525
SRP335821	SRX18711118	GSM6840358: DHL10_VTP1; Homo sapiens; RNA-Seq	GSM6840358: DHL10_VTP1; Homo sapiens; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	SRS16153239		NextSeq 500	46131700	1269817586	SRR22750010	46131700	3459877500
SRP335821	SRX18711117	GSM6840353: DHL10_EPZ2; Homo sapiens; RNA-Seq	GSM6840353: DHL10_EPZ2; Homo sapiens; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	SRS16153238		NextSeq 500	30041519	801995654	SRR22750009	30041519	2253113925
SRP335821	SRX18711116	GSM6840347: DHL10_EPZ1; Homo sapiens; RNA-Seq	GSM6840347: DHL10_EPZ1; Homo sapiens; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	SRS16153237		NextSeq 500	23700514	629351757	SRR22750008	23700514	1777538550
SRP335821	SRX18711115	GSM6840342: DHL10_CTR2; Homo sapiens; RNA-Seq	GSM6840342: DHL10_CTR2; Homo sapiens; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	SRS16153235		NextSeq 500	34013299	909154425	SRR22750007	34013299	2550997425
SRP335821	SRX18711114	GSM6840337: DHL10_CTR1; Homo sapiens; RNA-Seq	GSM6840337: DHL10_CTR1; Homo sapiens; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	SRS16153236		NextSeq 500	30589613	816765965	SRR22750006	30589613	2294220975
SRP335821	SRX18711113	GSM6840332: DHL10_Combo2; Homo sapiens; RNA-Seq	GSM6840332: DHL10_Combo2; Homo sapiens; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	SRS16153234		NextSeq 500	32845127	877930340	SRR22750005	32845127	2463384525
SRP335821	SRX18711112	GSM6840326: DHL10_Combo1; Homo sapiens; RNA-Seq	GSM6840326: DHL10_Combo1; Homo sapiens; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	SRS16153233		NextSeq 500	21807184	581373378	SRR22750004	21807184	1635538800
SRP335821	SRX12022678	GSM5558282: K422-MI503-1; Homo sapiens; RNA-Seq	GSM5558282: K422-MI503-1; Homo sapiens; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS10027378		NextSeq 500	65420980	4281033625	SRR15729236	65420980	13019922349
SRP335821	SRX12022677	GSM5558281: K422-DMSO-2; Homo sapiens; RNA-Seq	GSM5558281: K422-DMSO-2; Homo sapiens; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS10027377		NextSeq 500	66940604	4311755438	SRR15729235	66940604	13320572791
SRP335821	SRX12022676	GSM5558280: K422-DMSO-1; Homo sapiens; RNA-Seq	GSM5558280: K422-DMSO-1; Homo sapiens; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS10027376		NextSeq 500	65642236	4246939697	SRR15729234	65642236	13069044878
SRP335821	SRX12022675	GSM5558311: K422_MI503_MLL1; Homo sapiens; OTHER	GSM5558311: K422_MI503_MLL1; Homo sapiens; OTHER	9606	Homo sapiens	OTHER	GENOMIC	other	PAIRED	SRS10027375		NextSeq 500	12344591	416218822	SRR15729265	12344591	914966148
SRP335821	SRX12022674	GSM5558310: K422_MI503_MEN1; Homo sapiens; OTHER	GSM5558310: K422_MI503_MEN1; Homo sapiens; OTHER	9606	Homo sapiens	OTHER	GENOMIC	other	PAIRED	SRS10027374		NextSeq 500	14279132	483889235	SRR15729264	14279132	1058868832
SRP335821	SRX12022673	GSM5558309: K422_DMSO_MLL1; Homo sapiens; OTHER	GSM5558309: K422_DMSO_MLL1; Homo sapiens; OTHER	9606	Homo sapiens	OTHER	GENOMIC	other	PAIRED	SRS10027373		NextSeq 500	14374105	488736066	SRR15729263	14374105	1065236024
SRP335821	SRX12022672	GSM5558308: K422_DMSO_MEN1; Homo sapiens; OTHER	GSM5558308: K422_DMSO_MEN1; Homo sapiens; OTHER	9606	Homo sapiens	OTHER	GENOMIC	other	PAIRED	SRS10027372		NextSeq 500	19189690	650887619	SRR15729262	19189690	1422779241
SRP335821	SRX12022671	GSM5558307: K422_MLL1; Homo sapiens; OTHER	GSM5558307: K422_MLL1; Homo sapiens; OTHER	9606	Homo sapiens	OTHER	GENOMIC	other	PAIRED	SRS10027371		NextSeq 500	7662568	260187440	SRR15729261	7662568	567876250
SRP335821	SRX12022670	GSM5558306: K422_MEN1; Homo sapiens; OTHER	GSM5558306: K422_MEN1; Homo sapiens; OTHER	9606	Homo sapiens	OTHER	GENOMIC	other	PAIRED	SRS10027370		NextSeq 500	21103466	711563048	SRR15729260	21103466	1564780588
SRP335821	SRX12022669	GSM5558305: K422_H3K27me3; Homo sapiens; OTHER	GSM5558305: K422_H3K27me3; Homo sapiens; OTHER	9606	Homo sapiens	OTHER	GENOMIC	other	PAIRED	SRS10027369		NextSeq 500	19926333	665834631	SRR15729259	19926333	1475780817
SRP335821	SRX12022668	GSM5558304: K422_IgG; Homo sapiens; OTHER	GSM5558304: K422_IgG; Homo sapiens; OTHER	9606	Homo sapiens	OTHER	GENOMIC	other	PAIRED	SRS10027368		NextSeq 500	10772373	365232588	SRR15729258	10772373	798865333
SRP335821	SRX12022667	GSM5558303: Farage_MI503_MLL1; Homo sapiens; OTHER	GSM5558303: Farage_MI503_MLL1; Homo sapiens; OTHER	9606	Homo sapiens	OTHER	GENOMIC	other	PAIRED	SRS10027367		NextSeq 500	4950577	178775370	SRR15729257	4950577	366342698
SRP335821	SRX12022666	GSM5558302: Farage_MI503_MEN1; Homo sapiens; OTHER	GSM5558302: Farage_MI503_MEN1; Homo sapiens; OTHER	9606	Homo sapiens	OTHER	GENOMIC	other	PAIRED	SRS10027366		NextSeq 500	6237433	226683267	SRR15729256	6237433	461570042
SRP335821	SRX12022665	GSM5558301: Farage_DMSO_MLL1; Homo sapiens; OTHER	GSM5558301: Farage_DMSO_MLL1; Homo sapiens; OTHER	9606	Homo sapiens	OTHER	GENOMIC	other	PAIRED	SRS10027365		NextSeq 500	3082360	97888427	SRR15729255	3082360	228094640
SRP335821	SRX12022664	GSM5558300: Farage_DMSO_MEN1; Homo sapiens; OTHER	GSM5558300: Farage_DMSO_MEN1; Homo sapiens; OTHER	9606	Homo sapiens	OTHER	GENOMIC	other	PAIRED	SRS10027364		NextSeq 500	3146680	105484543	SRR15729254	3146680	232854320
SRP335821	SRX12022663	GSM5558299: Farage_MLL1; Homo sapiens; OTHER	GSM5558299: Farage_MLL1; Homo sapiens; OTHER	9606	Homo sapiens	OTHER	GENOMIC	other	PAIRED	SRS10027363		NextSeq 500	14218656	501522891	SRR15729253	14218656	1507177536
SRP335821	SRX12022662	GSM5558298: Farage_MEN1; Homo sapiens; OTHER	GSM5558298: Farage_MEN1; Homo sapiens; OTHER	9606	Homo sapiens	OTHER	GENOMIC	other	PAIRED	SRS10027362		NextSeq 500	4489841	157482414	SRR15729252	4489841	475923146
SRP335821	SRX12022661	GSM5558297: Farage_H3K27me3; Homo sapiens; OTHER	GSM5558297: Farage_H3K27me3; Homo sapiens; OTHER	9606	Homo sapiens	OTHER	GENOMIC	other	PAIRED	SRS10027361		NextSeq 500	32672585	1123393444	SRR15729251	32672585	3463294010
SRP335821	SRX12022660	GSM5558296: Farage_IgG; Homo sapiens; OTHER	GSM5558296: Farage_IgG; Homo sapiens; OTHER	9606	Homo sapiens	OTHER	GENOMIC	other	PAIRED	SRS10027360		NextSeq 500	5804309	198311647	SRR15729250	5804309	430303330
SRP335821	SRX12022659	GSM5558295: SUDHL5-MI503-2; Homo sapiens; RNA-Seq	GSM5558295: SUDHL5-MI503-2; Homo sapiens; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS10027359		NextSeq 500	53642218	3524013635	SRR15729249	53642218	10686921178
SRP335821	SRX12022658	GSM5558294: SUDHL5-MI503-1; Homo sapiens; RNA-Seq	GSM5558294: SUDHL5-MI503-1; Homo sapiens; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS10027358		NextSeq 500	17286571	1114399839	SRR15729248	17286571	3441533532
SRP335821	SRX12022657	GSM5558293: SUDHL5-DMSO-2; Homo sapiens; RNA-Seq	GSM5558293: SUDHL5-DMSO-2; Homo sapiens; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS10027357		NextSeq 500	17759147	1141551111	SRR15729247	17759147	3529082994
SRP335821	SRX12022656	GSM5558292: SUDHL5-DMSO-1; Homo sapiens; RNA-Seq	GSM5558292: SUDHL5-DMSO-1; Homo sapiens; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS10027356		NextSeq 500	65702787	4100581024	SRR15729246	65702787	13067766952
SRP335821	SRX12022655	GSM5558291: FARAGE-MI503-2; Homo sapiens; RNA-Seq	GSM5558291: FARAGE-MI503-2; Homo sapiens; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS10027355		NextSeq 500	62911765	4076180889	SRR15729245	62911765	12496761563
SRP335821	SRX12022654	GSM5558290: FARAGE-MI503-1; Homo sapiens; RNA-Seq	GSM5558290: FARAGE-MI503-1; Homo sapiens; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS10027354		NextSeq 500	21064970	1370719353	SRR15729244	21064970	4179534089
SRP335821	SRX12022653	GSM5558289: FARAGE-DMSO-2; Homo sapiens; RNA-Seq	GSM5558289: FARAGE-DMSO-2; Homo sapiens; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS10027353		NextSeq 500	19702027	1266476480	SRR15729243	19702027	3912102666
SRP335821	SRX12022652	GSM5558288: FARAGE-DMSO-1; Homo sapiens; RNA-Seq	GSM5558288: FARAGE-DMSO-1; Homo sapiens; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS10027352		NextSeq 500	17526249	1136866871	SRR15729242	17526249	3481028179
SRP335821	SRX12022651	GSM5558287: DB-MI503-2; Homo sapiens; RNA-Seq	GSM5558287: DB-MI503-2; Homo sapiens; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS10027351		NextSeq 500	58168690	3762227600	SRR15729241	58168690	11554615723
SRP335821	SRX12022650	GSM5558286: DB-MI503-1; Homo sapiens; RNA-Seq	GSM5558286: DB-MI503-1; Homo sapiens; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS10027350		NextSeq 500	65510827	4082982923	SRR15729240	65510827	13028280572
SRP335821	SRX12022649	GSM5558285: DB-DMSO-2; Homo sapiens; RNA-Seq	GSM5558285: DB-DMSO-2; Homo sapiens; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS10027349		NextSeq 500	18388680	1141524802	SRR15729239	18388680	3663644028
SRP335821	SRX12022648	GSM5558284: DB-DMSO-1; Homo sapiens; RNA-Seq	GSM5558284: DB-DMSO-1; Homo sapiens; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS10027348		NextSeq 500	17587985	1130679030	SRR15729238	17587985	3498516021
SRP335821	SRX12022647	GSM5558283: K422-MI503-2; Homo sapiens; RNA-Seq	GSM5558283: K422-MI503-2; Homo sapiens; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS10027347		NextSeq 500	30992535	1936921312	SRR15729237	30992535	6159458176
