study_accession	experiment_accession	experiment_title	experiment_desc	organism_taxid 	organism_name	library_strategy	library_source	library_selection	library_layout	sample_accession	sample_title	instrument	total_spots	total_size	run_accession	run_total_spots	run_total_bases
SRP335821	SRX18711156	GSM6840483: RPMI_8226_DMSO_MLL1; Homo sapiens; OTHER	GSM6840483: RPMI_8226_DMSO_MLL1; Homo sapiens; OTHER	9606	Homo sapiens	OTHER	GENOMIC	other	PAIRED	SRS16153276		NextSeq 500	13795233	438379884	SRR22750048	13795233	1048437708
SRP335821	SRX18711155	GSM6840482: RPMI_8226_DMSO_MEN1; Homo sapiens; OTHER	GSM6840482: RPMI_8226_DMSO_MEN1; Homo sapiens; OTHER	9606	Homo sapiens	OTHER	GENOMIC	other	PAIRED	SRS16153277		NextSeq 500	16070368	508724087	SRR22750047	16070368	1221347968
SRP335821	SRX18711154	GSM6840481: RPMI_8226_DMSO_H3K27me3_spikein; Homo sapiens; OTHER	GSM6840481: RPMI_8226_DMSO_H3K27me3_spikein; Homo sapiens; OTHER	9606	Homo sapiens	OTHER	GENOMIC	other	PAIRED	SRS16153275		NextSeq 500	16801925	529966465	SRR22750046	16801925	1276946300
SRP335821	SRX18711153	GSM6840480: RPMI_8226_EPZ6438_72hr_MLL1; Homo sapiens; OTHER	GSM6840480: RPMI_8226_EPZ6438_72hr_MLL1; Homo sapiens; OTHER	9606	Homo sapiens	OTHER	GENOMIC	other	PAIRED	SRS16153274		NextSeq 500	15356445	487803136	SRR22750045	15356445	1167089820
SRP335821	SRX18711152	GSM6840479: RPMI_8226_EPZ6438_72hr_MEN1; Homo sapiens; OTHER	GSM6840479: RPMI_8226_EPZ6438_72hr_MEN1; Homo sapiens; OTHER	9606	Homo sapiens	OTHER	GENOMIC	other	PAIRED	SRS16153272		NextSeq 500	16696690	528757454	SRR22750044	16696690	1268948440
SRP335821	SRX18711151	GSM6840478: RPMI_8226_EPZ6438_72hr_H3K27me3_spikein; Homo sapiens; OTHER	GSM6840478: RPMI_8226_EPZ6438_72hr_H3K27me3_spikein; Homo sapiens; OTHER	9606	Homo sapiens	OTHER	GENOMIC	other	PAIRED	SRS16153273		NextSeq 500	13389013	421259863	SRR22750043	13389013	1017564988
SRP335821	SRX18711150	GSM6840477: MM.1S_DMSO_MLL1; Homo sapiens; OTHER	GSM6840477: MM.1S_DMSO_MLL1; Homo sapiens; OTHER	9606	Homo sapiens	OTHER	GENOMIC	other	PAIRED	SRS16153271		NextSeq 500	15502134	488019608	SRR22750042	15502134	1178162184
SRP335821	SRX18711149	GSM6840476: MM.1S_DMSO_MEN1; Homo sapiens; OTHER	GSM6840476: MM.1S_DMSO_MEN1; Homo sapiens; OTHER	9606	Homo sapiens	OTHER	GENOMIC	other	PAIRED	SRS16153270		NextSeq 500	18323897	576706169	SRR22750041	18323897	1392616172
SRP335821	SRX18711148	GSM6840475: MM.1S_DMSO_H3K27me3_spikein; Homo sapiens; OTHER	GSM6840475: MM.1S_DMSO_H3K27me3_spikein; Homo sapiens; OTHER	9606	Homo sapiens	OTHER	GENOMIC	other	PAIRED	SRS16153269		NextSeq 500	15093732	471245968	SRR22750040	15093732	1147123632
SRP335821	SRX18711147	GSM6840474: MM.1S_EPZ6438_72hr_MLL1; Homo sapiens; OTHER	GSM6840474: MM.1S_EPZ6438_72hr_MLL1; Homo sapiens; OTHER	9606	Homo sapiens	OTHER	GENOMIC	other	PAIRED	SRS16153268		NextSeq 500	18879602	595208997	SRR22750039	18879602	1434849752
SRP335821	SRX18711146	GSM6840473: MM.1S_EPZ6438_72hr_MEN1; Homo sapiens; OTHER	GSM6840473: MM.1S_EPZ6438_72hr_MEN1; Homo sapiens; OTHER	9606	Homo sapiens	OTHER	GENOMIC	other	PAIRED	SRS16153267		NextSeq 500	16925365	532930450	SRR22750038	16925365	1286327740
SRP335821	SRX18711145	GSM6840472: MM.1S_EPZ6438_72hr_H3K27me3_spikein; Homo sapiens; OTHER	GSM6840472: MM.1S_EPZ6438_72hr_H3K27me3_spikein; Homo sapiens; OTHER	9606	Homo sapiens	OTHER	GENOMIC	other	PAIRED	SRS16153266		NextSeq 500	19228262	598673657	SRR22750037	19228262	1461347912
SRP335821	SRX18711144	GSM6840471: Farage_VTP50469_MLL1; Homo sapiens; OTHER	GSM6840471: Farage_VTP50469_MLL1; Homo sapiens; OTHER	9606	Homo sapiens	OTHER	GENOMIC	other	PAIRED	SRS16153264		NextSeq 500	15885653	480440108	SRR22750036	15885653	1191423975
SRP335821	SRX18711143	GSM6840470: Farage_VTP50469_MEN1; Homo sapiens; OTHER	GSM6840470: Farage_VTP50469_MEN1; Homo sapiens; OTHER	9606	Homo sapiens	OTHER	GENOMIC	other	PAIRED	SRS16153263		NextSeq 500	20546108	622489890	SRR22750035	20546108	1540958100
SRP335821	SRX18711142	GSM6840469: Farage_VTP50469_H3K27me3_spikein; Homo sapiens; OTHER	GSM6840469: Farage_VTP50469_H3K27me3_spikein; Homo sapiens; OTHER	9606	Homo sapiens	OTHER	GENOMIC	other	PAIRED	SRS16153265		NextSeq 500	14306282	436433743	SRR22750034	14306282	1072971150
SRP335821	SRX18711141	GSM6840468: Farage_ctr_H3K27me3_spikein; Homo sapiens; OTHER	GSM6840468: Farage_ctr_H3K27me3_spikein; Homo sapiens; OTHER	9606	Homo sapiens	OTHER	GENOMIC	other	PAIRED	SRS16153262		NextSeq 500	16304127	497510146	SRR22750033	16304127	1222809525
SRP335821	SRX18711140	GSM6840467: K422_VTP50469_MLL1; Homo sapiens; OTHER	GSM6840467: K422_VTP50469_MLL1; Homo sapiens; OTHER	9606	Homo sapiens	OTHER	GENOMIC	other	PAIRED	SRS16153261		NextSeq 500	19041252	575747356	SRR22750032	19041252	1428093900
SRP335821	SRX18711139	GSM6840464: K422_VTP50469_MEN1; Homo sapiens; OTHER	GSM6840464: K422_VTP50469_MEN1; Homo sapiens; OTHER	9606	Homo sapiens	OTHER	GENOMIC	other	PAIRED	SRS16153260		NextSeq 500	29502854	906018871	SRR22750031	29502854	2212714050
SRP335821	SRX18711138	GSM6840459: K422_VTP50469_H3K27me3_spikein; Homo sapiens; OTHER	GSM6840459: K422_VTP50469_H3K27me3_spikein; Homo sapiens; OTHER	9606	Homo sapiens	OTHER	GENOMIC	other	PAIRED	SRS16153259		NextSeq 500	19569576	590837770	SRR22750030	19569576	1467718200
SRP335821	SRX18711137	GSM6840454: K422_EPZ6438_72hr_MLL1; Homo sapiens; OTHER	GSM6840454: K422_EPZ6438_72hr_MLL1; Homo sapiens; OTHER	9606	Homo sapiens	OTHER	GENOMIC	other	PAIRED	SRS16153258		NextSeq 500	22543683	686549381	SRR22750029	22543683	1713319908
SRP335821	SRX18711136	GSM6840449: K422_EPZ6438_72hr_MEN1; Homo sapiens; OTHER	GSM6840449: K422_EPZ6438_72hr_MEN1; Homo sapiens; OTHER	9606	Homo sapiens	OTHER	GENOMIC	other	PAIRED	SRS16153257		NextSeq 500	25707702	782319826	SRR22750028	25707702	1953785352
SRP335821	SRX18711135	GSM6840444: K422_EPZ6438_72hr_H3K27me3_spikein; Homo sapiens; OTHER	GSM6840444: K422_EPZ6438_72hr_H3K27me3_spikein; Homo sapiens; OTHER	9606	Homo sapiens	OTHER	GENOMIC	other	PAIRED	SRS16153256		NextSeq 500	8932703	286914146	SRR22750027	8932703	678885428
SRP335821	SRX18711134	GSM6840439: K422_ctr_MLL1; Homo sapiens; OTHER	GSM6840439: K422_ctr_MLL1; Homo sapiens; OTHER	9606	Homo sapiens	OTHER	GENOMIC	other	PAIRED	SRS16153254		NextSeq 500	13388759	409210053	SRR22750026	13388759	1017545684
SRP335821	SRX18711133	GSM6840434: K422_ctr_MEN1; Homo sapiens; OTHER	GSM6840434: K422_ctr_MEN1; Homo sapiens; OTHER	9606	Homo sapiens	OTHER	GENOMIC	other	PAIRED	SRS16153255		NextSeq 500	19068151	582590031	SRR22750025	19068151	1449179476
